nome;preco;genero;loja;adulta;cultivo;clima;luminosidade;umidade
Bulbophyllum Biflorum Red;R$ 45,00;bulbophyllum;1;;Cultivo: substrato misto.;Clima: tropical;;Gosta de local sombreado e umidade no ambiente
Bulbophyllum Affine;R$ 19,90;bulbophyllum;1;AD;;;30%;
Bulbophyllum Ambrosiae;R$ 14,00;bulbophyllum;1;AD;Cultivo substrato mix com elementos bem triturados em pedaços miúdos, e bem drenado.;;;
Bulbophyllum Careyanum;R$ 34,00;bulbophyllum;1;AD;Cultivo substrato mix com elementos bem triturados em pedaços miúdos, e bem drenado.;;;
Bulbophyllum Sessile;R$ 12,00;bulbophyllum;1;AD;Cultivo substrato mix com elementos bem triturados em pedaços miúdos, e bem drenado.;;;
Bulbophyllum Meen Garuda;R$ 39,00;bulbophyllum;1;AD;;;sombreamento;
"Cattleya Leopoldii var. Alba ""Bela Vista""";R$ 65,00;cattleya;1;NBS;Cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Cattleya Schilleriana Choco;R$ 79,00;cattleya;1;;;Clima: tropical;60%;
Cattleya Nobilior Amaliae;R$ 65,00;cattleya;1;;As dicas de cultivo desta espécie vêm da observação da natureza. Nas regiões onde elas ocorrem existem dois períodos bem definidos: verão(seca) e inverno (chuva). O que nos leva a crer que estas plantas necessitam passar por um período de seca antes da floração (entre Maio e Junho) e conseqúente aumento de regas após a floração em Agosto/Setembro, quando então produzem seusbulbos vegetativos.;;;
Blc. Nobiles Tropical Sunset;R$ 30,00;cattleya;1;NBS;;;;
"Blc. Chia Lin ""New City""";R$ 65,00;cattleya;1;AD;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Incrivelmente lindas, grandes e perfumadas. Efeito aveludado;Clima: tropical;60%;
Blc. Nobiles Golden Top;R$ 25,00;cattleya;1;NBS;Cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Cattleya Intermedia;R$ 39,00;cattleya;1;;;;Sombreamento 50% a 60%;
Cattleya Dolosa Alba x Self;R$ 35,00;cattleya;1;;;Clima: tropical;;
"Cattleya Violacea var. Semi-alba ""Estriata""";R$ 24,90;cattleya;1;;;;numa altitude de 800 a 1200 metros;
Blc. Veronica Serra;R$ 25,00;cattleya;1;NBS; 20 a 25 cmCultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo utilizar também adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Produz flores grandes de lindo colorido. Exuberantes. Perfumada;Clima: tropical;60%;
Cattleya Guttata Coerulea;R$ 59,00;cattleya;1;AD; facil cultivo.;;;
Blc. Edisto New Berry x P. Red Crab;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Gosta de claridade ambiente.Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Flores de 5cm de diâmetro.;Clima: tropical;;
Bc. Pastoral Innocence;R$ 58,00;cattleya;1;AD; adultaÓtimo porte Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Labelo predominante. Quando estiver em floração evite molhar as flores para maior durabilidade.  ;Clima: tropical;60%;
Blc. Nobiles Wildfire;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
"Cattleya Guttata Alba ""Fabio"" x Self";R$ 85,00;cattleya;1;NBS;SementeiraTipo de cultivo: vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Forma flores belíssimas pintalgadas e muito perfumadas;Clima: tropical;60%;
Cattleya Wax Toy x Cruzeiro do Sul;R$ 16,00;cattleya;1;MUDA;;;;
Pot. Sally Taylor x Blc. Owen Holmes;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
Blc. Marie Spirit;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
Blc. Nobiles Musa;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.;Clima: tropical;50% a 60%;
Blc. Destiny Dixon;R$ 60,00;cattleya;1;AD;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Slc. Indian Rose;R$ 38,00;cattleya;1;AD;;Clima: tropical;;
Cattleya Trianae Concolor;R$ 45,00;cattleya;1;AD;Tipo de cultivo: cultivada com substrato a base de casca de pinus, carvão triturados, musgo e pedrisco para evitar acúmulo de água.Clima: tropical, quente.Boa claridade ambiente.Rega: regular com moderação, ao observar o substrato seco.Adubação: a cada 15 dias, com NPK 20-20-20;;;
Cattleya Trianae;R$ 39,00;cattleya;1;AD;Tipo de cultivo: cultivada com substrato a base de casca de pinus, carvão triturados, musgo e pedrisco para evitar acúmulo de água.Clima: tropical, quente.Boa claridade ambiente.Rega: regular com moderação, ao observar o substrato seco.Adubação: a cada 15 dias, com NPK 20-20-20;;;
Cattleya Trianae var. Coerulea;R$ 79,00;cattleya;1;AD;Tipo de cultivo: cultivada com substrato a base de casca de pinus, carvão triturados, musgo e pedrisco para evitar acúmulo de água.Clima: tropical, quente.Boa claridade ambiente.Rega: regular com moderação, ao observar o substrato seco.Adubação: a cada 15 dias, com NPK 20-20-20;;;
Cattleya Trianae var. Amesiana;R$ 79,00;cattleya;1;AD;Tipo de cultivo: cultivada com substrato a base de casca de pinus, carvão triturados, musgo e pedrisco para evitar acúmulo de água.Clima: tropical, quente.Boa claridade ambiente.Rega: regular com moderação, ao observar o substrato seco.Adubação: a cada 15 dias, com NPK 20-20-20;;;
Cattleya Aclandiae Rei Arthur x Self;R$ 30,00;cattleya;1;;;;;
Cattleya Aclandiae Albescens Caroline x Self;R$ 30,00;cattleya;1;;;;;
Cattleya Aclandiae Albescens Cocobongo x Self;R$ 30,00;cattleya;1;;;;;
"Cattleya Lueddemanniana var. ""Guaxupe""";R$ 55,00;cattleya;1;AD;Tipo de cultivo: cultivada com substrato a base de casca de pinus, carvão triturados, musgo e pedrisco para evitar acúmulo de água.Clima: tropical, quente.Luminosidade: 60% a 70%Rega: regular com moderação, ao observar o substrato seco.Adubação: a cada 15 dias, com NPK 20-20-20;;60% a 70%;
Cattleya Leopoldii x Kerchoveana AD;R$ 65,00;cattleya;1;;Cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade;Clima: tropical;60%;
Bc. Pastoral Inocence;R$ 25,00;cattleya;1;NBS;Tipo de cultivo: cultivada em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Luminosidade: 60%Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Quando próximo da época de floração, 3 meses antes, intercalar com NPK 10-52-10 ou 09-45-15 (floração).Nota: Fácil cultivo. Labelo predominante. Quando estiver em floração evite molhar as flores para maior durabilidade.  ;Clima: tropical;60%;
Lc. Adolpho Menezes;R$ 16,00;cattleya;1;MUDA;Tipo de cultivo: em vaso com substrato à base de casca de pinus, carvão triturado, pedrisco no fundo para drenar.Clima: tropical.Gosta de claridade ambiente.Rega: ao observar substrato seco, em geral a cada 2 dias. Adubação: a cada 15 dias, com NPK 20-20-20. Podendo também utilizar adubo orgânico a cada 2 meses.Nota: Fácil cultivo. Quando estiver em floração evite molhar as flores para maior durabilidade. Flores de 5cm de diâmetro.;Clima: tropical;;
